,movie_id,title,last_update,release_year,rating,duration,description,ott_id
0,1,Dick Johnson Is Dead,20210925,2020,PG-13,90,"As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable.",4
1,2,My Little Pony: A New Generation,20210924,2021,PG,91,"Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals — and, hoof to heart, she’s determined to prove it.",4
2,3,Sankofa,20210924,1993,R,125,"On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past.",4
3,4,The Starling,20210924,2021,PG-13,104,A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.,4
4,5,Je Suis Karl,20210923,2021,R,127,"After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them.",4
5,6,Confessions of an Invisible Girl,20210922,2021,PG,91,"When the clever but socially-awkward Tetê joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas.",4
6,7,Europe's Most Dangerous Man: Otto Skorzeny in Spain,20210922,2020,R,67,"Declassified documents reveal the post-WWII life of Otto Skorzeny, a close Hitler ally who escaped to Spain and became an adviser to world presidents.",4
7,8,Intrusion,20210922,2021,PG-13,94,"After a deadly home invasion at a couple’s new dream house, the traumatized wife searches for answers — and learns the real danger is just beginning.",4
8,9,Avvai Shanmughi,20210921,1996,PG,161,"Newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray-haired nanny in order to spend time with her.",4
9,10,Go! Go! Cory Carson: Chrissy Takes the Wheel,20210921,2021,G,61,"From arcade games to sled days and hiccup cures, Cory Carson’s curious little sister Chrissy speeds off on her own for fun and adventure all over town!",4
10,11,Jeans,20210921,1998,PG-13,166,"When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing.",4
11,12,Minsara Kanavu,20210921,1997,PG,147,A tangled love triangle ensues when a man falls for a woman studying to become a nun — and she falls for the friend he enlists to help him pursue her.,4
12,13,Grown Ups,20210920,2010,PG-13,103,"Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid.",4
13,14,Dark Skies,20210919,2013,PG-13,97,"A family’s idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat.",4
14,15,Paranoia,20210919,2013,PG-13,106,"Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor.",4
15,16,Ankahi Kahaniya,20210917,2021,PG-13,111,"As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing.",4
16,17,The Father Who Moves Mountains,20210917,2021,R,110,"When his son goes missing during a snowy hike in the mountains, a retired intelligence officer will stop at nothing — and risk everything — to find him.",4
17,18,The Stronghold,20210917,2021,R,105,"Tired of the small-time grind, three Marseille cops get a chance to bust a major drug network. But lines blur when a key informant makes a big ask.",4
18,19,Birth of the Dragon,20210916,2017,PG-13,96,"A young Bruce Lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a Shaolin master in this film based on real events.",4
19,20,Jaws,20210916,1975,PG,124,"When an insatiable great white shark terrorizes Amity Island, a police chief, an oceanographer and a grizzled shark hunter seek to destroy the beast.",4
20,21,Jaws 2,20210916,1978,PG,116,"Four years after the last deadly shark attacks, police chief Martin Brody fights to protect Amity Island from another killer great white.",4
21,22,Jaws 3,20210916,1983,PG,98,"After the staff of a marine theme park try to capture a young great white shark, they discover its mother has invaded the enclosure and is out for blood.",4
22,23,Jaws: The Revenge,20210916,1987,PG-13,91,"After another deadly shark attack, Ellen Brody has had enough of Amity Island and moves to the Caribbean – but a great white shark follows her there.",4
23,24,My Heroes Were Cowboys,20210916,2021,PG,23,"Robin Wiltshire's painful childhood was rescued by Westerns. Now he lives on the frontier of his dreams, training the horses he loves for the big screen.",4
24,25,Safe House,20210916,2012,R,115,Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location.,4
25,26,Training Day,20210916,2001,R,122,A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor's questionable brand of justice.,4
26,27,InuYasha the Movie 2: The Castle Beyond the Looking Glass,20210915,2002,PG-13,99,"With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy.",4
